mack,doanhthuthuan,loinhuangop,loinhuanthuan,loinhuantruocthue,loinhuansauthue,laitrencophieu
,393670180890.0,29065163485.0,8457505616.0,8463915098.0,6639201584.0,531.0
,1993145618946.0,147589659535.0,125100716810.0,125405305504.0,100030328206.0,2080.0
,123027071014650.0,436229788787.0,652262300853.0,680185076861.0,585338384397.0,202.0
,83827432801.0,10643543811.0,2036165368.0,2100824633.0,1620250917.0,1673.2919042189283
,1814581527929.0,1017724061477.0,886536481781.0,887602934186.0,710071766324.0,28403.0
,357406763322.0,18191894479.0,36687995303.0,35555338483.0,34986302624.0,1673.2919042189283
,2609613580989.0,-7501350091.0,-252393956081.0,-197780397686.0,-197780397686.0,-1601.0
,276517719628.0,131586895763.0,59366055502.0,59333204213.0,47046105267.0,3476.0
,1174633846252.0,158555431114.0,39060908547.0,36931504104.0,29612710004.0,1673.2919042189283
,561464712365.0,218034994172.0,58895187393.0,59018854497.0,47058961483.0,5028.0
,2306247000000.0,610514752463.5018,1002427000000.0,390590000000.0,311252000000.0,564.0
,39862204136345.0,-2327410087321.0,1123628115578.0,2620410226576.0,2157033004533.0,2809.0
,805020057515.0,94729038180.0,21868092987.0,26624654397.0,14506003125.0,90.0
,990555836109.0,489881957954.0,205248611671.0,205133560954.0,171317038587.0,2315.0
,3958979633852.0,1693211157367.0,730875241896.0,741078844714.0,664091107284.0,2423.0
,744580341694.0,436596683469.0,285002344122.0,285322946630.0,255255933688.0,1673.2919042189283
,170165944457.0,17238993625.0,-734937668.0,756480862.0,543386290.0,1673.2919042189283
,93251958232.0,62705140828.0,-4669953027.0,20256020098.0,15557368365.0,752.0
,626831909349.0,61936577451.0,8988888916.0,11391634265.0,11339231513.0,755.0
,943790939631.0,83845678698.0,1281107823.0,10109206345.0,3762822351.0,108.0
,3171234279220.0,455021139594.0,212257632708.0,213464692677.0,178739586792.0,502.0
,1144998079035.0,55294917744.0,29426678376.0,28863927972.0,21957491260.0,1673.2919042189283
,14940277511.0,-436216698.0,-76518092790.0,-77602543863.0,-77602543863.0,-3731.0
,38371820418.0,1709426415.0,-5227362339.0,-820192838.0,-661573169.0,-48.0
,681810329515.0,137492313353.0,2910334574.0,2827701632.0,1540437342.0,308.0
,591753292991.0,91450333960.0,41433564664.0,39798810685.0,30921885524.0,2922.0
,41719645246.0,14940187394.0,4814719950.0,4779020716.0,3817784270.0,1673.2919042189283
,2188112421848.0,-1539130308.0,-144582425228.0,-150442421215.0,-150442421215.0,1673.2919042189283
,10157191034709.0,483944743453.0,315038284854.0,324755064236.0,259034460756.0,614.0
,456492806532.0,34875041450.0,31249301766.0,31666445311.0,25815015107.0,269.0
,1298479992202.0,151671713887.0,10328819029.0,12065805279.0,10003658308.0,597.0
,423749900407.0,40908098516.0,41879987209.0,41301571871.0,32827950428.0,1650.0
,301510530439.0,105649060120.0,56575577615.0,53508726270.0,42364525565.0,640.0
,178096396187.0,48778474067.0,20683878562.0,21087940991.0,16950645276.0,1673.2919042189283
,156103579385.0,31583931377.0,6229829890.0,5502360615.0,3648786668.0,133.0
,1167062556707.0,70746374625.0,5988417293.0,16891088522.0,28715511917.0,1257.0
,1452619154002.0,517534571394.0,371015453057.0,375291204821.0,301338435308.0,3044.0
,22230523406.0,2075483249.0,-1842734916.0,-1926359797.0,-1926359797.0,-61.0
,3208679818247.0,235904464993.0,26491178224.0,25787566982.0,17206769405.0,1673.2919042189283
,94883175209.0,5751623092.0,976408901.0,230628345.0,28768121.0,1673.2919042189283
,1307837430269.0,351108042794.0,241328189584.0,241488890563.0,169854814868.0,1673.2919042189283
,85209344106.0,4659183956.0,204650522.0,190811627.0,65111617.0,1673.2919042189283
,293676622715.0,68892730911.0,56242052602.0,59525008253.0,47027665471.0,3718.0
,814199531520.0,421369733121.0,332095197966.0,331957503429.0,313762375040.0,2135.0
,629900704992.0,119736265443.0,44051541382.0,44235682608.0,35271626429.0,1673.2919042189283
,123106972488.0,34375108282.0,7889446804.0,5956336986.0,4515878505.0,242.0
,94444115464.0,28196354603.0,12367355281.0,64399096086.0,64399096086.0,1673.2919042189283
,3040558120766.0,1682760904369.0,664142072044.0,616821449627.0,638804024015.0,783.0
,387378730941.0,30772920570.0,3697620986.0,7819705878.0,7819705878.0,977.0
,1255074124460.0,125247059581.0,106973176120.0,104560209175.0,97851151885.0,1673.2919042189283
,1341451162943.0,352594379344.0,163742669953.0,158419461859.0,126250390852.0,1325.0
,908245631120.0,46005303114.0,3664643021.0,3605640614.0,2782588005.0,694.0
,3691723816321.0,407010737739.0,189488093767.0,190291997878.0,150229088842.0,5159.0
,661186027676.0,94303622637.0,48543999457.0,48504796282.0,38679263999.0,3223.0
,322046854786.0,139739652855.0,121943934562.0,124372310729.0,99350352899.0,2726.0
,17524760208468.0,389625028827.0,154733854206.0,185300059814.0,143281398506.0,13026.0
,1303449271732.0,195963018475.0,66723929027.0,67005013378.0,53446789975.0,4111.0
,517918018543.0,158931443064.0,218409695376.0,219691079074.0,197714159291.0,1673.2919042189283
,78642081396.0,10188701255.0,398703006.0,338226893.0,80004450.0,22.0
,771459885921.0,87721431032.0,37650289879.0,37565401011.0,29986425816.0,2566.0
