MaCk,EPS,PE,PB,ROA,ROE,TangTruongDoanhThuThuan,TangTruongLoiNhuanGop,TangTruongTongTaiSan
BBC,6223.0,8.63,0.67,5.286.501.035.121.660,7.805.101.577.372.000,19.7,25.2,-5.17
BBH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBM,320.0,22.48,0.59,19.050.175.728.556.800,26.374.752.207.213.100,-2.85,-5.11,-5.79
BBS,1031.0,9.89,0.57,21.236.132.192.373.100,57.370.898.459.942.300,-0.03,4.41,-2.69
BBT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCA,-2713.0,-4.05,0.42,-13.165.465.489.499.900,-10.345.942.938.161.200,44.15,524.27,-2.6
BCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCC,-51.0,-144.56,0.51,-23.835.112.165.465.900,-4.577.598.916.552.670,13.2,175.71,-6.68
BCE,1487.0,5.72,0.77,7.292.574.084.145.100,13.450.669.865.822.600,107.23,135.76,3.8
BCF,3250.0,12.46,3.44,1.643.244.945.863.490,2.676.702.585.690.750,28.19,43.67,35.08
BCG,566.0,11.24,0.26,18.158.861.775.850.200,3.948.837.020.901.240,8.97,-4.14,10.74
BCM,2034.0,34.85,3.58,3.929.605.526.731.430,11.277.989.294.974.900,-34.09,-20.14,10.02
BCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCR,559.0,8.44,0.36,19.435.708.073.932.300,4.191.029.081.390.210,-29.13,-53.77,10.81
BCV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDB,611.0,12.94,0.66,26.907.647.812.726.400,51.109.681.433.460.500,7.13,-6.14,30.02
BDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDG,6618.0,5.13,1.29,15.485.426.226.292.800,2.681.861.936.445.090,16.45,17.34,11.48
