doanhthuthuan,loinhuangop,loinhuanthuan,loinhuantruocthue
268346946492.0,17435104536.0,1129387999.0,1554095704.0
1094711919843.0,241103190056.0,152052666037.0,152113733156.0
155460874029.0,-8072264574.0,-19413635459.0,3561203504.0
4388226233043.0,400198158035.0,151834292479.0,134150549821.0
85209344106.0,4659183956.0,204650522.0,190811627.0
1224423344957.0,140498134379.0,2491699058.0,11850849183.0
348131827362.0,68228707737.0,10205835351.0,6148639643.0
664941272431.0,210171006444.0,48584378885.0,50728072310.0
192159467000000.0,28112144000000.0,11251872000000.0,16724348000000.0
10581070482074.0,38436024489.0,17730466263.0,21474620218.0
363848260132.0,127312586756.0,108425016107.0,107032934437.0
584292672805.0,76950015409.0,-63888046777.0,-37603147820.0
592693625998.0,51140509414.0,4250035430.0,4196626625.0
8939117000000.0,4755392000000.0,4720279000000.0,5133329000000.0
8606668671493.0,610514752463.5018,6265322259962.0,4006295939181.0
301510530439.0,105649060120.0,56575577615.0,53508726270.0
1106615410196.0,25736475328.0,-51840175317.0,-52536659801.0
107625581854.0,-19903281788.0,-50418260644.0,-50147764156.0
41152219000000.0,610514752463.5018,38405972000000.0,28829328000000.0
1596502518138.0,171229454411.0,14548138948.0,20632832429.0
1146997928816.0,1007672064.0,18489275785.0,18467115634.0
575626468075.0,193381547690.0,50583382149.0,62724822320.0
3691723816321.0,407010737739.0,189488093767.0,190291997878.0
4322071392821.0,1178092168658.0,960647840563.0,953344569496.0
1349283371633.0,103143226261.0,22368460285.0,23926812784.0
6931744246143.0,822640306013.0,65100659591.0,70216431119.0
22078260362207.0,2055483405899.0,556488874659.0,568950772752.0
2325314422750.0,1073183626740.0,179963344399.0,181530596172.0
-1782193000000.0,610514752463.5018,-4864546000000.0,-5128090000000.0
3174358584694.0,516898129839.0,54096333981.0,52998431520.0
167857497086.0,97722027416.0,243233705229.0,230936614852.0
5338111610218.0,55954364212.0,12480922907.0,14069444930.0
73006450831.0,13386603314.0,2409908158.0,2471522677.0
38982537.0,38982537.0,18512864921.0,19428630784.0
2705064519164.0,211527704148.0,181393663094.0,178279485642.0
9753088124766.0,1054054675289.0,413919016900.0,429078308693.0
37823493039712.0,6671898925773.0,2652283253759.0,2651166452398.0
7733424933017.0,950291248251.0,1112721631256.0,1116053894914.0
15106800858.0,11861804185.0,1876882953.0,2054224889.0
756821508515.0,610514752463.5018,556346277303.0,-152022600886.0
2812769703303.0,281781096419.0,40381701010.0,45743903622.0
12872959173073.0,1996191670883.0,1397929302757.0,1420328762179.0
78646587319.0,9244554761.0,14903642398.0,15076288540.0
13209223017.0,6628442302.0,-5184605392.0,511470399.0
11812431791839.0,2444569326101.0,1689058915827.0,1871187549962.0
285825688639.0,63705566129.0,52156503580.0,38534060529.0
38133493372.0,8707521738.0,-7174453703.0,-7212590207.0
36172276710.0,-2559843681.0,-13419244004.0,-20472856498.0
4884867655092.0,2137766133150.0,978656370753.0,904484566816.0
49485583507.0,3836304658.0,-1073852989.0,-5944113815.0
3098808201643.0,262936522511.0,21045869342.0,20516968651.0
1326405070911.0,109128926079.0,49652449846.0,50019618449.0
7920262628.0,998102593.0,-4237214535.0,-4300721698.0
4263652481420.0,1187229359068.0,649490989629.0,650026189696.0
123106972488.0,34375108282.0,7889446804.0,5956336986.0
1192244445297.0,58620979834.0,61122008688.0,55730596746.0
33565216052.0,1739210053.0,2506409755.0,1677267299.0
372622978479.0,62459297283.0,24406501979.0,23843630896.0
1721435530826.0,363209354486.0,279158181627.0,279158181627.0
1229096725714.0,247485886427.0,145135055896.0,147233885041.0
329859793051.0,36436210011.0,5791403260.0,6037181300.0
177406724480.0,31982901565.0,7177006798.0,7312888043.0
1298479992202.0,151671713887.0,10328819029.0,12065805279.0
250104305668.0,16461676550.0,-36542251347.0,-33251573867.0
45033889413.0,9203602020.0,-7064669282.0,-7015266774.0
124485076872538.0,4148868956598.0,609956814566.0,630571388242.0
56128696800.0,1395388352.0,18647597005.0,17353669399.0
1287784457723.0,483525029259.0,137208152853.0,138332381323.0
86951417702.0,52081309216.0,29584881431.0,28942909299.0
723778164286.0,137885817033.0,59441632264.0,60860108073.0
914381030925.0,151761267130.0,50563218965.0,55286067453.0
339912074165.0,24436866333.0,918068888.0,839281669.0
31735598766.0,13167154846.0,93974734685.0,94075557618.0
7736065477143.0,1177558456995.0,403523152194.0,388864941902.0
12782355466948.0,1488874039290.0,410860502242.0,407929704810.0
495013148690.0,67010872468.0,21320248807.0,33646289781.0
245805228803.0,8160091580.0,-746412674.0,340964779.0
571225175340.0,63930307339.0,373259530358.0,381658770934.0
17610400252637.0,8315776716636.0,3633301864610.0,3587597717336.0
7321865829546.0,221990691950.0,134896139015.0,134920718529.0
657528281152.0,77980396635.0,34756952947.0,17084833728.0
228816678549.0,152633229136.0,59340326183.0,58770444380.0
2888636097985.0,83398939041.0,317739465.0,1557580584.0
172524796980.0,23931375543.0,3758335408.0,3937043855.0
1105567526595.0,326460593724.0,249389593043.0,237329144367.0
4106543929913.0,198284619112.0,35314479067.0,33627719338.0
139407533343.0,13052146009.0,643857904.0,328982620.0
14940277511.0,-436216698.0,-76518092790.0,-77602543863.0
83177720000000.0,24655738000000.0,6760549000000.0,6024803000000.0
649783859237.0,38193096040.0,3370711115.0,4361695462.0
