mack,eps,pe,pb,roa,roe,tangtruongdoanhthuthuan,tangtruongloinhuangop,tangtruongtongtaisan
BCM,0.12783034887010625,-0.058984205059835586,0.36731423949390624,-0.3328620817740173,0.137576420061049,-0.04338608672075562,-0.052120300846728085,0.008570803624371405
BCR,-0.29064598099751343,-0.10495585625376147,-0.10276498023977228,0.6323822531145205,-0.36517310585907203,-0.042423571707521944,-0.06346552496146456,0.015454553807845557
BDB,-0.2758929171648922,-0.09712274643275934,-0.058968779643466814,1.0975054187549724,2.9632398548344066,-0.035387121227712884,-0.04739734106063498,0.1828429601680206
BDG,1.4283696682688645,-0.11071754369987638,0.03300324160877464,0.38647989544338757,-0.47223354415545166,-0.03357852446897542,-0.039476262790816,0.021292671052057805
BDT,-0.5601731087088616,-0.15047492776914057,-0.08378662664803992,-1.379985751941024,-0.8480332950115094,-0.04817731568784017,-0.06454168508415291,-0.2812437927077172
BDW,0.37494416806651076,-0.10485141478948144,0.06074083531976808,-0.09007606218157317,-0.5636392196304214,-0.035905249269110845,-0.04780891327056596,-0.10209201578084583
BED,0.25918935953363703,-0.09818456798627297,0.15417272992521971,-0.4915282693770951,-0.540395482262861,-0.037461573947766905,-0.04940459896972455,-0.06959025858545526
BFC,1.3287864873986717,-0.10847205221785576,0.06512045537939863,0.23542247099539318,-0.4626751002021725,-0.035031999761136745,-0.02728765299999147,-0.12326608280089922
BGE,-0.3093710235543018,-0.08580825446908959,-0.05458915958383628,0.684814623026502,-0.385998716074083,-0.0341451663719275,-0.03942228610754637,-0.06000528997555455
BGW,-0.2688000980145936,-0.07564261861250013,0.06512045537939863,-0.2669812968330963,-0.2396407007994602,-0.035728658813053864,-0.04408452212496112,-0.08893446796180032
BHA,0.25436624251143397,-0.10413773145023458,0.059280961966557896,0.08145763169630085,0.5108080034135277,-0.03321758133901279,-0.036500798125577355,-0.120390592217929
BHC,-0.4302326618753906,-0.07541632877322675,-0.16991915448744063,-0.5229205725067426,-0.662485045010004,-0.04164346881373176,-0.06550651829759764,-0.16012464390988104
BHI,-0.42597697038521143,0.11431899800215839,-0.022471945813212272,0.4427069846804569,4.080774467986989,-0.03489033928539873,-0.13031902073361226,0.009877844798448778
BHK,-0.12126945968838193,-0.0901599821474241,0.07095994879223937,-0.2959135776776457,-0.011467164814403906,-0.03712391747135026,-0.04403729252710019,-0.11725369340014331
BHN,0.018600933955507215,-0.07948954588014785,0.08847842903076153,-0.2321176722245379,-0.12104918976522644,-0.03560640388193749,-0.040549049370800005,-0.06523345467186403
BIC,0.7474590298401952,-0.10568694650372168,0.04030260837482555,-0.2184954727889835,0.5339248389114675,-0.033384469022758954,-0.03376485499234771,0.050396121194847224
BID,0.7781000085694854,-0.10453809039664136,0.06074083531976808,-0.5774773525345549,-0.5391635394462546,-0.03677073655923629,-0.04532598584016273,0.09535833758310872
BKC,0.8538513170946748,-0.11423373966397067,-0.051669412877415916,0.20547722488766618,-0.6463460023438323,-0.03114506917342093,0.027306388584540323,0.06355366901389271
BKG,-0.38881059803764656,-0.09284064639727817,-0.11006434700582317,-0.4586939723415138,0.7728916129152044,-0.02604141093792787,-0.03958421615735527,-0.19079654346156324
BLI,-0.13971078947915838,-0.10345886193241441,-0.05750890629025663,-0.5617240640457651,-0.1491014987993502,-0.03687940760911751,-0.04760650070830482,0.013711832242409057
